"age","case","educ","male","marr","sleep","exper","yngkid","yrsmarr","hrwage"
32,1,12,1,1,3113,14,0,13,7.07000350952148
31,2,14,1,0,2920,11,0,0,1.42999935150146
44,3,17,1,1,2670,21,0,0,20.5299968719482
30,4,12,0,1,3083,12,0,12,9.61999797821045
64,5,14,1,1,3448,44,0,33,2.75000023841858
41,6,12,1,1,4063,23,0,23,19.2499980926514
35,7,12,1,1,3180,17,1,0,1.43999981880188
47,8,13,1,1,2928,28,0,24,15.0100069046021
32,9,17,1,1,3368,9,0,11,4.32999753952026
30,10,15,1,1,3018,9,0,7,2.95999908447266
43,11,8,1,1,1575,29,0,23,2.40000081062317
23,12,16,0,1,3295,1,0,4,1.22999978065491
24,13,16,1,1,3798,2,0,4,1.22999978065491
48,14,5,1,1,3008,37,0,0,5.61000156402588
33,15,12,1,1,3248,15,0,9,3.13000011444092
23,16,12,1,1,3683,5,0,4,2.30999875068665
46,17,17,1,1,3201,23,0,21,9.90000343322754
37,18,14,1,1,2580,17,1,17,3.95999979972839
53,19,12,1,1,3420,35,0,26,3.29999852180481
45,20,17,1,1,3090,22,0,22,14.850001335144
46,21,17,1,0,2760,23,0,0,35.5099868774414
40,22,13,1,1,2880,21,0,0,5.32999897003174
53,23,12,1,1,3470,35,0,31,3.26999998092651
29,24,13,1,0,2673,10,0,0,5.06000232696533
29,25,12,1,1,2820,11,0,4,2.49000072479248
53,26,12,1,1,2873,35,0,0,5.3199987411499
28,27,13,1,1,1905,9,0,4,2.6899995803833
35,28,12,0,0,2926,17,0,0,2.6899995803833
36,29,12,1,1,2603,18,1,6,2.95999908447266
59,30,12,1,1,3238,41,0,0,3.46000146865845
26,31,12,1,1,3888,8,0,2,3.46000146865845
24,32,16,1,1,2716,2,0,1,4.23000001907349
28,33,16,1,0,3245,6,0,0,4.80999946594238
39,34,16,1,1,3158,17,0,0,24.6299934387207
33,35,17,1,1,3105,10,0,5,19.2499980926514
28,36,17,1,0,3515,5,0,0,3.84999942779541
33,37,12,1,1,3330,15,0,11,7.69999694824219
47,38,12,1,1,4153,29,0,22,5.38999795913696
31,39,16,1,1,2955,9,1,7,4.62000131607056
26,40,12,1,0,2200,8,0,0,3.84999942779541
31,41,15,1,1,2885,10,0,13,5.38999795913696
38,42,16,1,1,3345,16,0,15,7.69999694824219
44,43,17,0,0,2765,21,0,0,2.15999937057495
49,44,12,1,1,3928,31,0,30,6.08000135421753
56,45,11,1,1,2833,39,0,35,5.76999950408936
41,46,12,1,1,3750,23,0,19,5.76999950408936
36,47,12,1,1,3328,18,0,15,5.76999950408936
36,48,9,1,1,3795,21,0,18,7.41999959945679
37,49,12,1,1,3363,19,0,17,4.32999753952026
23,50,9,1,1,2280,8,0,0,4.53999996185303
29,51,10,1,1,4151,13,0,5,3.29999852180481
29,52,17,1,0,3266,6,0,0,4.73999929428101
26,53,16,1,1,3570,4,0,2,3.39000010490417
29,54,16,1,1,2885,7,1,10,7.34999752044678
25,55,17,1,0,2879,2,0,0,3.15000176429749
24,56,14,0,0,2790,4,0,0,1.04999983310699
23,57,16,1,1,2799,1,0,0,8.40000247955322
28,58,12,1,1,3173,10,0,5,5.46000099182129
29,59,17,1,1,3308,6,1,7,5.46000099182129
39,60,12,1,1,3305,21,0,19,8.40000247955322
31,61,12,0,0,2975,13,0,0,2.79999876022339
50,62,8,1,1,3316,36,0,28,4.28000020980835
36,63,10,1,1,3226,20,0,15,3.05000114440918
28,64,12,0,1,3635,10,0,5,2.43999981880188
50,65,11,1,1,3233,33,0,26,5.17999935150146
50,66,12,1,1,3348,32,0,28,7.99000215530396
50,67,13,0,0,2630,31,0,0,5.99999713897705
55,68,12,0,0,2858,37,0,0,3.22999954223633
34,69,16,0,1,3203,12,0,12,3.22999954223633
44,70,12,1,0,3451,26,0,0,5.99999713897705
30,71,16,1,1,3008,8,1,4,5.76999950408936
23,72,9,1,1,2821,8,0,2,2.7699990272522
32,73,16,1,1,3525,10,1,7,5.54000282287598
40,74,15,1,1,3150,19,0,18,8.31000328063965
34,75,10,0,1,3113,18,0,15,2.7699990272522
23,76,16,0,1,2816,1,0,0,5.54000282287598
24,77,12,1,1,3105,6,1,4,5.54000282287598
39,78,12,1,1,3605,21,0,18,5.54000282287598
39,79,17,1,0,3611,16,0,0,7.85000324249268
33,80,16,1,1,3128,11,0,11,7.85000324249268
31,81,12,1,1,3213,13,0,8,7.85000324249268
37,82,14,1,1,3860,17,0,17,2.53999972343445
60,83,6,0,1,4275,48,0,0,1.2700001001358
43,84,12,1,1,3076,25,0,23,7.61999750137329
34,85,16,1,1,4313,12,1,9,7.39000225067139
37,86,16,1,1,2885,15,0,12,4.62000131607056
50,87,17,1,0,3165,27,0,0,16.1700057983398
32,88,12,1,1,3105,14,0,12,2.30999875068665
47,89,12,1,1,3063,29,0,27,6.93000173568726
35,90,17,1,1,3368,12,1,8,6.93000173568726
62,91,16,1,1,3415,40,0,39,4.62000131607056
38,92,16,1,1,3508,16,1,6,11.5500068664551
51,93,16,1,0,2788,29,0,0,8.33000469207764
32,94,12,1,0,3180,14,0,0,4.99000024795532
49,95,12,1,1,3123,31,0,24,4.87000036239624
36,96,17,1,1,3388,13,0,14,6.46999979019165
41,97,17,1,1,3610,18,0,17,6.46999979019165
34,98,12,1,1,3351,16,1,5,2.08000016212463
36,99,12,1,1,2653,18,0,11,4.15999984741211
31,100,16,1,1,3413,9,1,9,4.15999984741211
38,101,12,1,1,3218,20,0,16,5.26999807357788
32,102,12,1,1,3045,14,1,10,3.70000076293945
35,103,12,1,1,3433,17,0,13,3.70000076293945
23,104,16,0,1,3730,1,0,2,2.65999984741211
27,105,15,1,1,2970,6,1,6,1.39000034332275
47,106,12,0,1,3475,29,0,0,0.959999978542328
39,107,11,1,1,3430,22,0,22,1.91999959945679
34,108,14,0,1,2910,14,1,17,1.43999981880188
52,109,7,1,1,3570,39,0,0,2.59999871253967
45,110,12,1,1,3060,27,0,23,6.25000333786011
61,111,17,1,1,3495,38,0,0,5.76999950408936
44,112,12,0,0,2970,26,0,0,5.76999950408936
51,113,8,1,1,3008,37,0,27,5.76999950408936
49,114,15,0,1,3428,28,0,26,4.80999946594238
64,115,10,1,1,3288,48,0,42,4.80999946594238
30,116,12,1,1,2400,12,1,9,9.61999797821045
36,117,12,1,1,3070,18,0,6,9.61999797821045
26,118,15,0,1,2250,5,1,5,4.32999753952026
44,119,8,1,1,3323,30,0,24,8.66000270843506
28,120,12,1,0,3023,10,0,0,4.09000015258789
59,121,13,1,1,3505,40,0,37,32.47998046875
35,122,12,1,1,3503,17,0,14,5.40000009536743
56,123,12,1,1,3370,38,0,33,3.61000084877014
38,124,12,1,1,3120,20,0,19,7.22000074386597
28,125,17,1,1,3308,5,0,2,7.22000074386597
50,126,14,0,1,3398,30,0,20,3.3700008392334
46,127,8,1,1,3333,32,0,25,6.74000024795532
28,128,16,0,0,2728,6,0,0,3.54000091552734
28,129,12,1,1,3256,10,1,6,2.89000153541565
36,130,12,0,1,3250,18,0,0,1.66000068187714
47,131,16,1,1,2915,25,0,19,10.3200025558472
40,132,14,1,1,4170,20,0,10,3.43999838829041
42,133,14,1,1,3030,22,0,20,12.779993057251
41,134,16,0,0,3668,19,0,0,4.66999959945679
44,135,17,1,1,2303,21,0,14,5.8999981880188
53,136,16,0,1,3618,31,0,32,2.45999932289124
39,137,11,1,1,3316,22,0,20,4.02000045776367
26,138,12,0,1,3601,8,0,6,0.509999752044678
25,139,12,0,1,2413,7,0,0,1.06000006198883
32,140,6,1,1,2771,20,1,10,2.05000042915344
32,141,12,1,1,3383,14,0,0,2.82000017166138
24,142,17,0,1,3808,1,0,3,2.82000017166138
56,143,12,1,1,3363,38,0,28,3.58999919891357
34,144,10,1,1,3675,18,0,17,3.58999919891357
23,145,13,1,1,3120,4,1,0,4.35999965667725
29,146,12,0,1,3536,11,0,8,8.71999740600586
27,147,12,1,1,3253,9,0,8,5.13000154495239
58,148,10,1,0,2885,42,0,0,5.13000154495239
56,149,12,1,1,2560,38,0,33,5.13000154495239
37,150,14,1,1,2985,17,0,0,6.6700005531311
51,151,12,0,1,3095,33,0,0,6.6700005531311
50,152,12,1,1,2985,32,0,28,6.25999879837036
39,153,16,1,1,2243,17,0,18,8.21000194549561
48,154,12,1,1,2838,30,0,20,8.21000194549561
50,155,16,1,1,3375,28,0,29,11.2899961471558
26,156,16,1,1,3355,4,1,1,7.69999694824219
51,157,11,1,1,3743,34,0,29,6.16000127792358
39,158,16,1,1,2701,17,0,15,7.69999694824219
54,159,14,0,1,2943,34,0,27,3.08000135421753
28,160,12,1,1,3463,10,0,1,3.84999942779541
37,161,12,1,0,2723,19,0,0,4.62000131607056
26,162,14,1,1,3875,6,1,4,4.62000131607056
35,163,17,1,1,3115,12,0,13,6.16000127792358
53,164,15,0,0,2756,32,0,0,4.62000131607056
53,165,16,1,1,3398,31,0,30,15.3999900817871
27,166,12,1,1,3098,9,0,7,6.16000127792358
37,167,17,1,1,2991,14,0,16,9.60000038146973
28,168,12,0,1,3215,10,0,9,3.58000063896179
29,169,17,0,1,3611,6,0,2,5.65000247955322
44,170,12,1,1,3305,26,0,22,5.65000247955322
26,171,12,0,1,3367,8,0,7,2.43999981880188
32,172,16,1,0,2618,10,0,0,4.87999868392944
59,173,8,0,0,3475,45,0,0,4.10999965667725
26,174,17,1,1,3618,3,0,2,3.34000062942505
32,175,11,0,0,3460,15,0,0,2.57000017166138
27,176,14,1,1,3250,7,0,8,2.57000017166138
57,177,9,0,0,2648,42,0,0,2.75000023841858
26,178,12,1,1,3045,8,1,4,1.80000054836273
37,179,12,1,1,3065,19,0,14,3.67000126838684
24,180,14,1,1,2875,4,0,1,3.67000126838684
33,181,12,1,1,3090,15,0,14,6.03999996185303
33,182,17,1,0,2798,10,0,0,4.83000230789185
27,183,14,1,1,3610,7,1,0,3.21999883651733
45,184,8,1,1,3403,31,0,18,5.40999937057495
32,185,12,1,1,3656,14,0,9,5.91000127792358
30,186,17,1,1,3348,7,1,7,8.06000423431396
35,187,12,0,1,3130,17,0,13,1.91999959945679
35,188,10,0,0,3213,19,0,0,1.91999959945679
46,189,7,1,1,3855,33,0,24,3.02000069618225
47,190,12,1,1,3138,29,0,25,8.52000522613525
51,191,12,1,0,3203,33,0,0,3.95999979972839
28,192,10,1,1,2930,12,0,9,6.6000018119812
47,193,17,1,1,2448,24,0,19,8.24999904632568
46,194,12,0,1,3556,28,0,0,2.30999875068665
42,195,14,0,1,3660,22,0,0,4.50999927520752
59,196,9,0,0,2536,44,0,0,1.15000009536743
30,197,11,0,1,2828,13,0,12,1.15000009536743
35,198,12,0,0,3103,17,0,0,1.03000020980835
23,199,12,0,1,3730,5,0,3,1.22000014781952
38,200,11,0,1,2840,21,0,20,1.43999981880188
61,201,12,0,0,3210,43,0,0,1.43999981880188
51,202,8,0,0,3650,37,0,0,1.43999981880188
55,203,17,1,1,2708,32,0,25,0.720000028610229
33,204,10,0,1,3530,17,0,17,1.95999908447266
52,205,12,0,1,4695,34,0,0,3.15999984741211
27,206,15,1,1,3639,6,1,5,3.46000146865845
36,207,9,1,1,2335,21,0,0,3.46000146865845
55,208,12,0,0,2813,37,0,0,3.46000146865845
60,209,10,0,1,3088,44,0,38,3.46000146865845
40,210,11,0,1,3710,23,0,22,1.72999930381775
29,211,13,0,1,3293,10,0,8,3.46000146865845
35,212,12,0,1,3261,17,0,16,3.46000146865845
35,213,12,1,1,3540,17,0,15,3.46000146865845
39,214,12,1,1,3176,21,0,13,3.46000146865845
23,215,12,1,1,3060,5,1,5,3.46000146865845
28,216,11,1,1,3590,11,1,1,3.46000146865845
28,217,17,0,0,2923,5,0,0,3.46000146865845
54,218,13,0,0,3020,35,0,0,3.46000146865845
46,219,11,0,1,3110,29,0,0,2.18000030517578
52,220,12,0,1,3898,34,0,31,2.4800009727478
30,221,12,0,1,2841,12,0,12,3.22999954223633
40,222,12,0,1,3278,22,0,16,5.47999954223633
40,223,17,0,1,3151,17,0,22,4.23999881744385
28,224,10,1,1,3165,12,1,11,2.40000081062317
36,225,12,0,1,3720,18,0,8,1.80000054836273
30,226,12,0,0,3675,12,0,0,3.75000071525574
37,227,12,1,1,3300,19,0,17,4.49999809265137
36,228,12,0,1,2250,18,0,14,3.75000071525574
31,229,12,1,1,3298,13,0,8,3.75000071525574
30,230,12,1,1,3245,12,0,4,5.25
53,231,11,0,1,2770,36,0,29,3.75000071525574
37,232,12,0,1,3383,19,0,18,2.99999904632568
29,233,12,1,1,3338,11,0,10,5.21000099182129
34,234,12,1,1,3330,16,0,2,4.76000165939331
38,235,12,1,1,3098,20,0,19,5.76999950408936
24,236,12,0,1,3158,6,0,5,5.76999950408936
52,237,14,1,1,3404,32,0,26,5.76999950408936
38,238,9,1,1,3038,23,0,14,5.76999950408936
36,239,16,0,1,3115,14,0,18,5.76999950408936
60,240,12,1,1,2623,42,0,0,5.76999950408936
39,241,12,1,1,3013,21,0,16,5.76999950408936
50,242,12,0,0,2895,32,0,0,5.76999950408936
28,243,12,1,1,1485,10,0,12,5.76999950408936
36,244,10,0,0,2770,20,0,0,5.76999950408936
60,245,8,1,1,3308,46,0,23,5.76999950408936
32,246,13,1,1,3210,13,0,11,5.76999950408936
56,247,12,1,1,3116,38,0,35,5.76999950408936
47,248,8,1,1,3183,33,0,0,5.76999950408936
61,249,12,1,1,3330,43,0,39,5.76999950408936
29,250,17,1,0,3113,6,0,0,5.76999950408936
56,251,8,1,1,2880,42,0,0,5.76999950408936
27,252,12,1,1,3308,9,0,5,5.76999950408936
45,253,9,1,1,3428,30,0,0,5.02000045776367
25,254,12,0,1,3998,7,0,4,3.51999998092651
26,255,10,1,1,3965,10,1,9,4.53000068664551
52,256,12,0,0,3515,34,0,0,2.7699990272522
33,257,17,0,1,3345,10,1,8,7.55999851226807
37,258,17,1,1,3638,14,1,7,4.0400013923645
30,259,13,1,1,2655,11,1,6,4.0400013923645
52,260,17,0,1,2618,29,0,27,10.1000061035156
23,261,12,1,1,3450,5,1,2,4.0400013923645
44,262,12,0,1,3188,26,0,0,3.03000092506409
33,263,16,1,1,3390,11,0,10,8.08000087738037
27,264,12,0,1,3108,9,0,5,4.0400013923645
65,265,7,1,0,3825,52,0,0,6.06000137329102
30,266,16,1,1,3778,8,1,8,8.08000087738037
54,267,16,1,1,3046,32,0,32,8.08000087738037
29,268,16,0,1,3333,7,1,8,8.08000087738037
49,269,12,1,1,4575,31,0,27,8.08000087738037
25,270,12,1,1,3263,7,1,4,4.0400013923645
58,271,12,0,1,3113,40,0,34,4.0400013923645
40,272,11,1,0,4545,23,0,0,4.0400013923645
40,273,12,1,1,3880,22,1,5,4.0400013923645
56,274,12,1,0,3303,38,0,0,4.0400013923645
45,275,9,0,1,3388,30,0,25,4.0400013923645
52,276,10,0,0,3278,36,0,0,4.59999895095825
31,277,17,1,1,3376,8,1,10,5.31000089645386
27,278,12,1,1,2895,9,0,5,14.4299936294556
31,279,14,1,1,3216,11,0,9,10.3900012969971
30,280,17,1,1,2930,7,0,6,10.3900012969971
44,281,16,1,1,3150,22,0,17,10.3900012969971
27,282,15,1,1,3248,6,1,6,5.83000040054321
28,283,14,0,0,3983,8,0,0,7.1000018119812
57,284,12,1,1,3218,39,0,24,8.37000179290771
33,285,13,0,1,2803,14,0,10,2.53999972343445
29,286,12,1,1,3038,11,1,5,3.8099992275238
32,287,12,1,1,3150,14,0,14,6.35000085830688
25,288,13,1,1,3405,6,1,4,10.1599960327148
50,289,12,1,1,3548,32,0,25,6.35000085830688
39,290,12,1,0,3670,21,0,0,6.35000085830688
24,291,12,1,1,2961,6,0,4,6.35000085830688
31,292,12,1,1,3530,13,1,9,6.35000085830688
25,293,12,1,1,2668,7,1,7,6.35000085830688
44,294,7,1,1,3233,31,0,25,6.35000085830688
62,295,17,1,1,3750,39,0,37,17.4799938201904
44,296,12,1,1,3203,26,0,23,9.93000602722168
35,297,12,0,1,2948,17,0,0,4.32999753952026
34,298,12,0,0,3621,16,0,0,4.32999753952026
27,299,12,0,1,3630,9,1,5,4.32999753952026
32,300,12,1,1,3631,14,0,10,8.66000270843506
58,301,8,1,1,2836,44,0,30,8.66000270843506
27,302,17,0,1,2940,4,1,10,4.32999753952026
59,303,14,1,1,3943,39,0,34,8.66000270843506
23,304,12,1,1,3378,5,0,0,7.39000225067139
45,305,8,1,1,4140,31,0,0,5.70999956130981
25,306,12,1,1,2888,7,0,1,6.11999893188477
52,307,17,1,0,3030,29,0,0,8.47000503540039
29,308,12,1,1,3705,11,1,6,6.6399998664856
24,309,16,0,1,3795,2,0,3,3.83999848365784
59,310,10,1,1,3160,43,0,36,7.93999767303467
39,311,10,1,1,3075,23,0,13,4.62000131607056
33,312,12,1,1,2678,15,0,7,9.24000072479248
33,313,8,1,1,4113,19,1,13,4.62000131607056
58,314,12,1,0,3293,40,0,0,6.93000173568726
33,315,16,1,1,2760,11,1,9,11.5500068664551
24,316,17,0,1,3720,1,0,2,2.30999875068665
47,317,12,1,1,3840,29,0,7,9.24000072479248
51,318,16,0,1,3338,29,0,29,4.62000131607056
44,319,11,0,1,4373,27,0,26,4.62000131607056
48,320,12,1,1,2928,30,0,27,6.93000173568726
36,321,12,1,1,3090,18,0,15,11.5500068664551
54,322,12,1,1,2740,36,0,27,6.93000173568726
25,323,12,1,1,2496,7,0,1,2.30999875068665
56,324,17,0,0,3098,33,0,0,4.62000131607056
28,325,12,1,1,2933,10,1,6,6.93000173568726
40,326,14,0,0,3195,20,0,0,4.62000131607056
28,327,12,1,1,3213,10,0,4,4.62000131607056
29,328,12,1,1,3015,11,0,7,4.62000131607056
33,329,17,1,1,3698,10,1,0,6.93000173568726
26,330,12,1,1,3488,8,0,5,6.93000173568726
54,331,12,1,1,3335,36,0,34,11.5500068664551
31,332,12,1,1,2965,13,0,12,4.62000131607056
56,333,13,1,1,3823,37,0,29,6.93000173568726
25,334,17,0,0,3443,2,0,0,4.62000131607056
25,335,12,1,1,3560,7,0,4,4.62000131607056
53,336,8,1,1,3461,39,0,15,6.93000173568726
26,337,12,1,1,3178,8,0,5,4.62000131607056
24,338,15,1,1,3435,3,0,1,4.62000131607056
45,339,17,1,1,3211,22,0,20,6.93000173568726
52,340,10,0,1,3635,36,0,34,2.30999875068665
23,341,15,0,1,3378,2,1,5,4.87999868392944
32,342,12,0,1,3780,14,0,15,3.64999938011169
49,343,17,0,1,2715,26,0,25,3.34999895095825
44,344,12,0,0,3436,26,0,0,6.28999948501587
24,345,13,1,1,3285,5,0,2,7.22000074386597
34,346,11,1,1,3203,17,0,15,7.22000074386597
54,347,14,1,1,3683,34,0,31,7.22000074386597
40,348,12,1,1,3135,22,0,16,7.22000074386597
48,349,8,0,1,3213,34,0,0,4.38999891281128
27,350,15,0,0,3365,6,1,0,4.64999914169312
33,351,17,0,1,3278,10,1,13,7.69999694824219
28,352,12,1,0,3150,10,0,0,9.8199987411499
62,353,16,0,1,3750,40,0,38,5.17000198364258
64,354,17,0,0,3418,41,0,0,3.30999946594238
31,355,12,0,0,2910,13,0,0,6.21000099182129
29,356,16,1,1,3683,7,0,3,6.21000099182129
36,357,12,1,1,2311,18,0,13,7.51000452041626
44,358,8,1,1,3368,30,0,24,7.51000452041626
43,359,12,1,0,3453,25,0,0,7.51000452041626
46,360,11,1,1,3870,29,0,26,7.51000452041626
29,361,12,0,0,2921,11,0,0,2.59999871253967
28,362,14,1,0,3438,8,0,0,5.20000171661377
26,363,13,1,1,3775,7,1,4,5.20000171661377
62,364,10,0,1,2945,46,0,42,1.29999971389771
23,365,17,0,1,3270,0,0,2,2.59999871253967
35,366,16,0,0,3405,13,0,0,5.20000171661377
32,367,14,1,1,3533,12,1,7,5.20000171661377
44,368,12,1,1,3320,26,0,12,5.20000171661377
29,369,12,0,0,3030,11,0,0,3.11999988555908
42,370,12,1,1,3563,24,0,17,5.20000171661377
24,371,16,0,0,3470,2,0,0,3.11999988555908
27,372,14,0,1,3130,7,0,8,2.08000016212463
49,373,14,0,1,3660,29,0,31,5.20000171661377
43,374,8,1,1,4113,29,0,13,2.08000016212463
40,375,14,1,1,2661,20,0,9,3.64000105857849
27,376,12,0,1,2115,9,0,0,4.67999935150146
49,377,8,0,1,3240,35,0,28,2.59999871253967
27,378,12,0,1,3480,9,0,8,4.97000074386597
26,379,12,0,1,4048,8,0,5,2.89000153541565
44,380,8,0,1,2956,30,0,24,2.89000153541565
31,381,15,0,1,2985,10,0,7,2.89000153541565
28,382,13,0,1,2745,9,1,4,2.89000153541565
47,383,12,0,1,3405,29,0,27,2.89000153541565
31,384,12,0,1,3158,13,0,11,2.89000153541565
33,385,12,0,1,3138,15,0,14,2.89000153541565
55,386,12,0,1,3143,37,0,35,3.47999906539917
24,387,12,0,1,2865,6,0,5,1.85000061988831
23,388,16,0,1,3853,1,0,3,3.70000076293945
42,389,11,1,1,3435,25,0,22,3.17999935150146
26,390,12,0,1,3221,8,0,9,3.17999935150146
25,391,14,0,0,3320,5,0,0,3.17999935150146
32,392,10,1,1,2633,16,0,13,1.5900000333786
33,393,12,0,1,3158,15,0,15,3.17999935150146
62,394,8,0,1,3353,48,0,0,3.17999935150146
35,395,14,0,1,3350,15,0,17,3.17999935150146
26,396,9,1,1,2580,11,0,4,3.17999935150146
44,397,12,0,1,3633,26,0,19,2.65999984741211
48,398,9,0,1,3955,33,0,32,2.06000018119812
51,399,8,0,1,4215,37,0,0,1.60999965667725
47,400,6,0,0,2733,35,0,0,0.540000081062317
43,401,12,0,1,3270,25,0,24,0.35000005364418
32,402,16,0,1,3128,10,0,9,5.76999950408936
24,403,13,1,1,3515,5,0,4,6.65999698638916
28,404,16,0,1,4068,6,0,0,1.81999909877777
33,405,14,0,1,3885,13,0,9,1.81999909877777
28,406,12,0,1,3410,10,1,0,1.51999950408936
24,407,13,0,1,3641,5,0,4,3.64999938011169
24,408,13,0,1,4091,5,0,2,2.18000030517578
49,409,12,0,1,2708,31,0,27,4.99000024795532
27,410,16,0,0,2640,5,0,0,4.99000024795532
23,411,16,1,0,2918,1,0,0,4.99000024795532
32,412,12,0,1,2983,14,0,12,5.09000062942505
39,413,11,1,0,3420,22,0,0,4.08000040054321
35,414,12,1,1,3322,17,1,14,2.86999988555908
24,415,12,0,1,3553,6,0,4,3.11999988555908
33,416,12,0,1,3945,15,0,0,6.23999834060669
40,417,16,1,1,3018,18,0,16,15.6000022888184
25,418,13,0,0,2870,6,0,0,6.23999834060669
30,419,12,0,1,2891,12,1,9,6.23999834060669
24,420,16,0,1,3323,2,0,3,6.23999834060669
25,421,16,1,1,3155,3,0,3,7.49000215530396
34,422,12,0,0,4110,16,0,0,3.86999797821045
52,423,12,0,1,3328,34,0,27,4.36999988555908
25,424,15,1,1,3015,4,1,3,5.62000179290771
37,425,16,1,1,3195,15,1,7,11.2400007247925
26,426,17,1,1,2710,3,0,2,2.50000071525574
26,427,12,0,0,2890,8,0,0,3.75000071525574
65,428,12,1,1,3578,47,0,35,1.25000059604645
32,429,12,0,1,2708,14,0,0,2.70000052452087
27,430,10,1,1,4100,11,1,2,3.75000071525574
57,431,4,0,0,3818,47,0,0,0.379999995231628
36,432,8,0,1,3060,22,0,16,1.68000030517578
51,433,13,1,1,3765,32,0,0,3.84999942779541
52,434,11,0,1,2710,35,0,35,7.05999946594238
24,435,17,0,1,3753,1,0,1,1.80000054836273
27,436,12,0,1,3943,9,0,4,1.80000054836273
29,437,13,0,1,3505,10,0,10,1.81000030040741
30,438,13,1,1,3693,11,0,6,5.01000070571899
30,439,12,0,1,3150,12,0,7,4.44999933242798
33,440,16,1,0,2780,11,0,0,4.87999868392944
37,441,11,1,1,2955,20,0,16,7.51999855041504
27,442,14,0,0,2948,7,0,0,4.42000150680542
37,443,12,1,1,3045,19,0,7,6.17000150680542
44,444,12,0,1,3595,26,0,22,3.29999852180481
62,445,8,1,1,2985,48,0,41,4.62000131607056
54,446,12,0,1,3346,36,0,32,6.6000018119812
23,447,14,1,0,3195,3,0,0,4.95000219345093
42,448,12,0,0,3073,24,0,0,6.6000018119812
32,449,12,0,0,3608,14,0,0,10.5599975585938
28,450,17,1,0,2928,5,0,0,2.64000010490417
32,451,12,0,1,3525,14,0,14,2.64000010490417
57,452,14,0,1,3953,37,0,34,3.29999852180481
50,453,13,0,1,3218,31,0,29,7.91999864578247
35,454,17,0,0,3848,12,0,0,3.95999979972839
28,455,12,0,0,3740,10,1,0,3.29999852180481
60,456,12,0,1,3570,42,0,38,2.64000010490417
39,457,17,0,0,3218,16,0,0,11.2200002670288
29,458,12,1,1,3255,11,0,8,6.6000018119812
43,459,12,1,0,3363,25,0,0,2.83999991416931
47,460,12,0,1,3286,29,0,7,3.70000076293945
33,461,11,0,1,3255,16,0,16,5.09000062942505
45,462,12,0,1,3548,27,0,25,2.09999918937683
54,463,9,0,1,3181,39,0,39,1.39999961853027
45,464,12,0,1,3188,27,0,0,1.43999981880188
51,465,14,0,1,3318,31,0,32,5.99999713897705
24,466,12,0,0,4030,6,1,0,3.06000018119812
32,467,9,0,1,2746,17,0,14,2.89000153541565
42,468,12,0,1,3410,24,0,23,2.16999959945679
60,469,12,0,0,3943,42,0,0,0.959999978542328
48,470,11,0,0,2423,31,0,0,1.91999959945679
39,471,12,0,1,3388,21,0,16,3.20000076293945
36,472,16,0,1,3280,14,0,14,3.8099992275238
56,473,13,0,1,3376,37,0,37,3.21000003814697
48,474,12,0,1,3458,30,0,27,2.30999875068665
34,475,16,0,1,3710,12,0,15,2.30999875068665
33,476,10,0,1,3196,17,0,0,1.53999936580658
48,477,17,1,0,3206,25,0,0,3.70000076293945
31,478,8,1,1,2881,17,1,11,2.15999937057495
56,479,10,0,1,3113,40,0,36,1.81000030040741
46,480,11,0,1,3128,29,0,26,2.21999955177307
38,481,10,0,1,3203,22,0,21,0.919999659061432
23,482,12,0,1,3330,5,0,2,2.7699990272522
30,483,10,1,0,4180,14,0,0,16.6299953460693
33,484,11,0,1,3368,16,0,16,2.30999875068665
50,485,8,0,1,3295,36,0,23,4.15999984741211
51,486,12,0,1,3103,33,0,0,1.95999908447266
35,487,16,0,1,3373,13,0,15,5.76999950408936
53,488,16,0,1,3210,31,0,30,3.3700008392334
33,489,12,0,1,2698,15,0,15,2.89000153541565
49,490,12,0,1,3633,31,0,26,2.37999892234802
44,491,8,0,1,2413,30,0,24,3.15000176429749
28,492,12,0,1,3818,10,0,7,0.550000011920929
64,493,12,1,1,3420,46,0,35,3.46000146865845
61,494,12,0,1,3215,43,0,0,3.46000146865845
32,495,12,0,0,2623,14,0,0,1.72999930381775
34,496,11,1,1,2643,17,0,16,3.46000146865845
43,497,12,0,1,3353,25,0,22,2.4800009727478
25,498,17,1,1,3558,2,0,3,2.99999904632568
39,499,17,0,1,2828,16,0,19,5.76999950408936
60,500,17,1,1,3148,37,0,34,25.3999977111816
